mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e14,0.01,0.003,7.248930842410458e-6,7.265326657368621e-6,0.0022618252697679253
1.0e14,0.01,0.01,6.906425902414013e-6,6.933954218357746e-6,0.003985898977662217
1.0e14,0.01,0.03,6.10782067815005e-6,6.139976428083534e-6,0.005264684676895781
1.0e14,0.01,0.1,4.08717659108516e-6,4.1522690517665476e-6,0.015926021112805833
1.0e14,0.01,0.3,1.5316509950533623e-6,1.72500470619314e-6,0.12623875266900564
1.0e14,0.01,1.0,1.6397050156131118e-7,2.906288271302943e-7,0.7724458019153131
1.0e14,0.01,2.0,2.5834167415517695e-8,7.072566110015391e-8,1.7376791348681686
1.0e14,0.01,4.0,3.0380125980820134e-9,1.3158606846963614e-8,3.3313206980349683
1.0e14,0.1,0.003,7.666020397585587e-6,7.666018947197951e-6,1.8919694455554747e-7
1.0e14,0.1,0.01,7.3096687415652984e-6,7.309665781382316e-6,4.0496814390778013e-7
1.0e14,0.1,0.03,6.478536739368971e-6,6.47853174465434e-6,7.709633875752075e-7
1.0e14,0.1,0.1,4.361276041235819e-6,4.361270389321988e-6,1.295931231548586e-6
1.0e14,0.1,0.3,1.64236730233672e-6,1.6423645746240883e-6,1.6608420222441467e-6
1.0e14,0.1,1.0,1.7120824305181892e-7,1.7120707139429256e-7,6.843464458672344e-6
1.0e14,0.1,2.0,2.5743002384214388e-8,2.5742325816756344e-8,2.6281606471001417e-5
1.0e14,0.1,4.0,2.822924666011529e-9,2.822702242014934e-9,7.879204120220251e-5
1.0e14,0.5,0.003,1.0752762109152483e-5,1.0752762105359275e-5,3.527659275803785e-10
1.0e14,0.5,0.01,1.0282552314706688e-5,1.0282552306197822e-5,8.275052865158727e-10
1.0e14,0.5,0.03,9.185598076669662e-6,9.185598141114187e-6,7.01582236750653e-9
1.0e14,0.5,0.1,6.326471007259848e-6,6.326470990323982e-6,2.67698474498701e-9
1.0e14,0.5,0.3,2.4437337623747632e-6,2.443733693909237e-6,2.8016769793026697e-8
1.0e14,0.5,1.0,2.3614365606096514e-7,2.361436465297062e-7,4.0362121533910056e-8
1.0e14,0.5,2.0,3.020415608508385e-8,3.0204153996697465e-8,6.914235184396489e-8
1.0e14,0.5,4.0,2.5613978063013556e-9,2.5613976113587978e-9,7.610788033129978e-8
1.0e14,1.0,0.003,1.767775911767982e-5,1.76777591201186e-5,1.379576453075515e-10
1.0e14,1.0,0.01,1.6948911970456744e-5,1.6948912025084683e-5,3.22309423594902e-9
1.0e14,1.0,0.03,1.5249934426530297e-5,1.524993446410417e-5,2.4638711071389707e-9
1.0e14,1.0,0.1,1.073792285001077e-5,1.0737923021273511e-5,1.5949336074072562e-8
1.0e14,1.0,0.3,4.285648690165119e-6,4.285648675828296e-6,3.345309917968109e-9
1.0e14,1.0,1.0,3.979072882937741e-7,3.979072703050754e-7,4.520826635268094e-8
1.0e14,1.0,2.0,4.4487972182987054e-8,4.448797197877548e-8,4.590264945925071e-9
1.0e14,1.0,4.0,2.9723782081287947e-9,2.9723782170003527e-9,2.984666513938805e-9
1.0e14,3.0,0.003,8.960181597769638e-5,8.960181599927675e-5,2.4084734207008296e-10
1.0e14,3.0,0.01,8.641622296297508e-5,8.641622321286454e-5,2.8916962158120896e-9
1.0e14,3.0,0.03,7.902862635720474e-5,7.902862664870832e-5,3.688582106420313e-9
1.0e14,3.0,0.1,5.869937698853115e-5,5.8699378230917494e-5,2.1165238894838012e-8
1.0e14,3.0,0.3,2.596487094244123e-5,2.5964871093551686e-5,5.819803750028996e-9
1.0e14,3.0,1.0,2.4642541463297865e-6,2.464254003214738e-6,5.807641578758904e-8
1.0e14,3.0,2.0,2.180104063510668e-7,2.1801040474587153e-7,7.362929599352697e-9
1.0e14,3.0,4.0,8.529197428610084e-9,8.529197344122613e-9,9.905676612298464e-9
1.0e14,5.0,0.003,0.0002568313827830974,0.0002568313828357799,2.0512502807434885e-10
1.0e14,5.0,0.01,0.00024848270438529473,0.00024848270450949925,4.998517155740956e-10
1.0e14,5.0,0.03,0.00022921097052610288,0.0002292109709195,1.716310205068794e-9
1.0e14,5.0,0.1,0.00017538175995778537,0.00017538176106740878,6.326903223552449e-9
1.0e14,5.0,0.3,8.305905346125786e-5,8.305905363039597e-5,2.036359747492611e-9
1.0e14,5.0,1.0,8.546915855735349e-6,8.546915695236717e-6,1.877854360898823e-8
1.0e14,5.0,2.0,7.097937418246661e-7,7.097936897669316e-7,7.334205898157364e-8
1.0e14,5.0,4.0,2.1498381572425402e-8,2.149838155024071e-8,1.0319238796796526e-9
1.0e15,0.01,0.003,9.344148142827068e-5,9.365956659156246e-5,0.0023339223646534624
1.0e15,0.01,0.01,8.852446133002024e-5,8.887261856355046e-5,0.003932892991376669
1.0e15,0.01,0.03,7.705175625020293e-5,7.741481786335858e-5,0.004711918726118647
1.0e15,0.01,0.1,4.880947280783503e-5,4.959990179860483e-5,0.01619417185433969
1.0e15,0.01,0.3,1.6040499426897e-5,1.8322849968019933e-5,0.14228675057933948
1.0e15,0.01,1.0,1.2964269791400147e-6,2.4530547338761136e-6,0.8921657550688651
1.0e15,0.01,2.0,1.6366988646850585e-7,4.979907824522027e-7,2.0426536805109134
1.0e15,0.01,4.0,1.4988456491697826e-8,7.471015449760023e-8,3.9845128842307753
1.0e15,0.1,0.003,9.88834956516693e-5,9.88834758921827e-5,1.9982593124634462e-7
1.0e15,0.1,0.01,9.376832801291193e-5,9.376828825693318e-5,4.2398088562212166e-7
1.0e15,0.1,0.03,8.182617490886013e-5,8.182611000716744e-5,7.931654236736918e-7
1.0e15,0.1,0.1,5.220126652292167e-5,5.2201199864841396e-5,1.2769437355286684e-6
1.0e15,0.1,0.3,1.7257275826260423e-5,1.7257249602390474e-5,1.5195834042192047e-6
1.0e15,0.1,1.0,1.3547025616644993e-6,1.3546925685482548e-6,7.376612791043513e-6
1.0e15,0.1,2.0,1.6244227981766242e-7,1.624374619463689e-7,2.9658973630164454e-5
1.0e15,0.1,4.0,1.3775503273589808e-8,1.3774277463574644e-8,8.898477179519748e-5
1.0e15,0.5,0.003,0.0001390002555878207,0.0001390002554113136,1.269833016515065e-9
1.0e15,0.5,0.01,0.00013225393070844042,0.0001322539307562942,3.6183256391097984e-10
1.0e15,0.5,0.03,0.00011648360638176596,0.0001164836061482732,2.0045116677636088e-9
1.0e15,0.5,0.1,7.632647016778653e-5,7.632647048421267e-5,4.145693344170809e-9
1.0e15,0.5,0.3,2.6001821988877274e-5,2.600182164574263e-5,1.3196561510220306e-8
1.0e15,0.5,1.0,1.878540410456128e-6,1.8785402788343767e-6,7.006596747238802e-8
1.0e15,0.5,2.0,1.8843292601296066e-7,1.8843291170000753e-7,7.595781392755185e-8
1.0e15,0.5,4.0,1.2041914751061066e-8,1.2041913619688752e-8,9.395285860414049e-8
1.0e15,1.0,0.003,0.0002289124633809758,0.0002289124636233955,1.0590062160531488e-9
1.0e15,1.0,0.01,0.00021846018169584006,0.00021846018222249492,2.410759147863928e-9
1.0e15,1.0,0.03,0.00019402592767282727,0.00019402592987754664,1.1363014307264052e-8
1.0e15,1.0,0.1,0.0001304461367420921,0.00013044613785015798,8.494432490735448e-9
