cosmology,h,omega_m,omega_b,log10_mass_hinv,redshift,x,ne_native_m3,ne_paper_m3,n200_paper_m3,native_factor
HalfDome,0.68,0.31,0.049,13.2,0.0,0.05410398619929744,1631.4086300322265,2711.640257496128,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.055204423867596164,1618.0803344832539,2689.4866767751,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.05632724367715431,1604.7911008160545,2667.3980226268513,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.05747290086524861,1591.540382368006,2645.373386417979,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.05864185992836731,1578.327639641045,2623.411871423627,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.059834594810535956,1565.1523405387677,2601.512593221585,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.061051589095473875,1552.013960610759,2579.674680098395,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.06229333620265888,1538.911983304274,2557.8972734676818,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.06356033958737974,1525.8459002232887,2536.179528300741,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.06485311294485778,1512.815211395088,2514.5206135696376,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.06617218041851981,1499.8194255444125,2492.919712702886,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.06751807681250759,1486.8580603752298,2471.3760240537886,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.06889134780850925,1473.9306428602688,2449.888761381692,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.07029255018700119,1461.036709538281,2428.4571543460693,215.99585198237747,0.6016316602183194
