panel,curve,x,x3_ne_over_n200
0,without_c_bpl,0.942871382259491,0.9331975916099272
0,without_c_bpl,0.9762858957143153,0.965559521772345
0,without_c_bpl,1.01088458946184,0.9972462802612152
0,without_c_bpl,1.0467094297861916,1.0280747589492232
0,without_c_bpl,1.0838038702188493,1.057854024889129
0,without_c_bpl,1.12221290424535,1.0863919243586593
0,without_c_bpl,1.1619831198798762,1.1134915648189152
0,without_c_bpl,1.2031627561739164,1.1389571156939047
0,without_c_bpl,1.2458017617275419,1.1625930658228545
0,without_c_bpl,1.2899518552742695,1.1842062070430606
0,without_c_bpl,1.335666588412999,1.2036107663542834
0,without_c_bpl,1.3830014105631132,1.2206293204760106
0,without_c_bpl,1.4320137362215284,1.235092045166019
0,without_c_bpl,1.4827625991019664,1.2468467143606476
0,without_c_no_bpl,0.04249783615797887,0.001217998436481276
0,without_c_no_bpl,0.04400392123471406,0.0013339891323729581
0,without_c_no_bpl,0.04556337741954023,0.001460868351219189
0,without_c_no_bpl,0.047178102520416675,0.0015996370926419732
0,without_c_no_bpl,0.048850052026046795,0.0017513846733981015
0,without_c_no_bpl,0.05058125391784839,0.0019172982909592283
0,without_c_no_bpl,0.05237380804707604,0.002098670488329728
0,without_c_no_bpl,0.0542298886818235,0.0022969066880197896
0,without_c_no_bpl,0.0561517471442895,0.002513534208412757
0,without_c_no_bpl,0.05814171454150591,0.0027502153118950877
0,without_c_no_bpl,0.060202204592840425,0.003008755265296416
0,without_c_no_bpl,0.06233571655770344,0.0032911175887822895
0,without_c_no_bpl,0.06454483826701019,0.0035994310361927477
0,without_c_no_bpl,0.06683224926207516,0.0039360112614996185
0,without_c_no_bpl,0.0692007240447462,0.00430336154013376
0,without_c_no_bpl,0.07165313544272028,0.004704207381849567
