model,ell,clean_masked_dl,noisy_cross_dl,unmasked_beamed_dl,noise_noise_dl,signal_noise_dl
Mstar-1sigma,1781.3726,4.359796e-13,4.4214955e-13,1.1099695e-12,4.79132e-15,1.3786308e-15
Mstar-1sigma,1981.1835,4.3316056e-13,4.3344497e-13,1.1003925e-12,-7.2033365e-16,1.004747e-15
Mstar-1sigma,2181.029,4.2463404e-13,4.2131197e-13,1.0801191e-12,1.9284422e-15,-5.2505192e-15
Mstar-1sigma,2380.9006,4.0890072e-13,4.072973e-13,1.0390237e-12,-6.1027686e-16,-9.931497e-16
Mstar-1sigma,2580.792,3.9051797e-13,3.88439e-13,9.965931e-13,-2.4611122e-16,-1.8328465e-15
Mstar-1sigma,2780.699,3.705012e-13,3.7369557e-13,9.42042e-13,8.961891e-16,2.2981685e-15
Mstar-1sigma,2980.6187,3.4549734e-13,3.456738e-13,8.811366e-13,-8.1512733e-16,9.915812e-16
Mstar-1sigma,3180.548,3.1956076e-13,3.2203892e-13,8.1521373e-13,1.1555941e-15,1.3225668e-15
Mstar-1sigma,3380.486,2.9631698e-13,2.9520844e-13,7.539193e-13,-4.917838e-16,-6.1675873e-16
Mstar-1sigma,3580.4312,2.692901e-13,2.6977563e-13,6.839641e-13,3.84624e-16,1.00908835e-16
Mstar-1sigma,3780.3818,2.43035e-13,2.411762e-13,6.188088e-13,-1.2182494e-15,-6.4056104e-16
Mstar-1sigma,3980.3374,2.1816753e-13,2.1734323e-13,5.5604403e-13,8.609511e-16,-1.6852429e-15
Mstar-1sigma,4180.2974,1.9451807e-13,1.9457762e-13,4.9493813e-13,8.223574e-16,-7.628076e-16
Mstar-1sigma,4380.261,1.721338e-13,1.7260268e-13,4.3826872e-13,-5.3879183e-17,5.2275597e-16
Mstar-1sigma,4580.228,1.5082128e-13,1.4766201e-13,3.8458895e-13,-3.4375945e-15,2.7832423e-16
Mstar-1sigma,4780.1973,1.3193485e-13,1.3085659e-13,3.3568295e-13,-2.5277372e-16,-8.254925e-16
Mstar-1sigma,4980.1694,1.1433038e-13,1.1404815e-13,2.9110275e-13,-9.507136e-16,6.684822e-16
Mstar-1sigma,5180.1436,9.840295e-14,9.976499e-14,2.5064778e-13,1.498288e-15,-1.3624546e-16
Mstar-1sigma,5380.1196,8.4412796e-14,8.8319366e-14,2.1470251e-13,3.9646936e-15,-5.81234e-17
Mstar-1sigma,5580.097,7.1597364e-14,6.784912e-14,1.8255288e-13,-4.518666e-15,7.7042305e-16
Mstar-1sigma,5780.0767,6.0610506e-14,6.5635756e-14,1.5397751e-13,5.9194135e-15,-8.941636e-16
Mstar-1sigma,5980.0576,5.0906517e-14,4.7711858e-14,1.2965856e-13,-2.7153403e-15,-4.79319e-16
Mstar-1sigma,6180.0396,4.2428565e-14,4.7278967e-14,1.08197387e-13,5.0465202e-15,-1.961182e-16
Mstar-1sigma,6380.0225,3.5280156e-14,4.1851078e-14,8.990983e-14,6.718932e-15,-1.4800969e-16
Mstar-1sigma,6580.0063,2.912434e-14,3.126721e-14,7.416599e-14,1.995427e-15,1.474443e-16
Mstar-1sigma,6779.9917,2.3901006e-14,2.4319266e-14,6.083616e-14,4.380575e-16,-1.9797701e-17
Mstar-1sigma,6979.9775,1.9502124e-14,3.5028492e-14,4.9609974e-14,1.4362599e-14,1.1637691e-15
Mstar-1sigma,7179.9644,1.5786461e-14,1.831408e-14,4.0149067e-14,2.0155132e-15,5.1210596e-16
Mstar-1sigma,7379.9517,1.2758466e-14,1.2815312e-14,3.2426566e-14,2.1113821e-16,-1.5429213e-16
Mstar-1sigma,7579.94,1.0218801e-14,1.1459925e-14,2.6008015e-14,8.607951e-16,3.8032838e-16
Mstar-1sigma,7779.928,8.15541e-15,-3.179335e-15,2.074362e-14,-1.2249817e-14,9.150717e-16
Mstar-1sigma,7929.605,6.853185e-15,2.957082e-14,1.7438154e-14,2.155462e-14,1.1630169e-15
