shape_index,x,previous_h,smooth_h,previous_dh_dx,smooth_dh_dx,physical_y_over_A
0.000000000000000000e+00,3.008000000000000007e+00,8.196642003629763505e-05,8.196642003629763505e-05,-7.649159699168145519e-05,-7.649159699168145519e-05,4.322339199956400741e-04
0.000000000000000000e+00,3.012000000000000011e+00,8.166122538807847023e-05,8.166122538807847023e-05,-7.610613026808803021e-05,-7.610613026808803021e-05,4.298780935961121091e-04
0.000000000000000000e+00,3.016000000000000014e+00,8.135756778094330134e-05,8.135756778094330134e-05,-7.572307345686776531e-05,-7.572307345686776531e-05,4.275336393812843145e-04
0.000000000000000000e+00,3.020000000000000018e+00,8.105543761105357063e-05,8.105543761105357063e-05,-7.534240867823110619e-05,-7.534240867823110619e-05,4.252004783378820346e-04
0.000000000000000000e+00,3.024000000000000021e+00,8.075482534578298929e-05,8.075482534578298929e-05,-7.496411820549423030e-05,-7.496411820549423030e-05,4.228785319777517387e-04
0.000000000000000000e+00,3.028000000000000025e+00,8.045572152310848687e-05,8.045572152310848687e-05,-7.458818446359530264e-05,-7.458818446359530264e-05,4.205677223323833064e-04
0.000000000000000000e+00,3.032000000000000028e+00,8.015811675100628360e-05,8.015811675100628360e-05,-7.421459002762614073e-05,-7.421459002762614073e-05,4.182679719474644594e-04
0.000000000000000000e+00,3.036000000000000032e+00,7.986200170685440005e-05,7.986200170685440005e-05,-7.384331762138033239e-05,-7.384331762138033239e-05,4.159792038774717858e-04
0.000000000000000000e+00,3.040000000000000036e+00,7.956736713684066928e-05,7.956736713684066928e-05,-7.347435011591677630e-05,-7.347435011591677630e-05,4.137013416802962410e-04
0.000000000000000000e+00,3.044000000000000039e+00,7.927420385537656288e-05,7.927420385537656288e-05,-7.310767052813845553e-05,-7.310767052813845553e-05,4.114343094118991695e-04
0.000000000000000000e+00,3.048000000000000043e+00,7.898250274451656006e-05,7.898250274451656006e-05,-7.274326201938698631e-05,-7.274326201938698631e-05,4.091780316210031298e-04
0.000000000000000000e+00,3.052000000000000046e+00,7.869225475338323590e-05,7.869225475338323590e-05,-7.238110789405192546e-05,-7.238110789405192546e-05,4.069324333438130220e-04
0.000000000000000000e+00,3.056000000000000050e+00,7.840345089759777060e-05,7.840345089759777060e-05,-7.202119159819522949e-05,-7.202119159819522949e-05,4.046974400987671944e-04
0.000000000000000000e+00,3.060000000000000053e+00,7.811608225871601529e-05,7.811608225871601529e-05,-7.166349671819006594e-05,-7.166349671819006594e-05,4.024729778813201540e-04
0.000000000000000000e+00,3.064000000000000057e+00,7.783013998367007368e-05,7.783013998367007368e-05,-7.130800697937502027e-05,-7.130800697937502027e-05,4.002589731587537377e-04
0.000000000000000000e+00,3.068000000000000060e+00,7.754561528421487107e-05,7.754561528421487107e-05,-7.095470624472182829e-05,-7.095470624472182829e-05,3.980553528650147377e-04
