mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e14,0.5,0.003,8.85203599097204e-5,8.852035981721317e-5,1.0450389442695496e-9
1.0e14,0.5,0.01,8.774702902115981e-5,8.774702891992906e-5,1.153665829534134e-9
1.0e14,0.5,0.03,8.609733072286249e-5,8.609733070651355e-5,1.8988910444051044e-10
1.0e14,0.5,0.1,8.158503991399149e-5,8.158503982583043e-5,1.0806032735288795e-9
1.0e14,0.5,0.3,7.104664161374596e-5,7.104664214475219e-5,7.474051155753614e-9
1.0e14,0.5,1.0,4.4956172322731945e-5,4.495617212424924e-5,4.415026788606724e-9
1.0e14,0.5,2.0,2.472304389031188e-5,2.472304346874274e-5,1.7051668188550195e-8
1.0e14,0.5,4.0,8.961688249798357e-6,8.9616878229615e-6,4.762906791189181e-8
1.0e14,1.0,0.003,0.0001453589782917023,0.0001453589782926119,6.257661055997232e-12
1.0e14,1.0,0.01,0.00014415227582748752,0.0001441522758758156,3.3525715537052747e-10
1.0e14,1.0,0.03,0.00014158590975731853,0.00014158590979652943,2.769406926006468e-10
1.0e14,1.0,0.1,0.0001345966453384071,0.0001345966459095667,4.24349066996399e-9
1.0e14,1.0,0.3,0.00011825286605452648,0.00011825286652726264,3.99767197123424e-9
1.0e14,1.0,1.0,7.678192749724335e-5,7.678192863162615e-5,1.477408595462748e-8
1.0e14,1.0,2.0,4.3149109858609294e-5,4.3149109774948656e-5,1.9388728400571154e-9
1.0e14,1.0,4.0,1.577070852668706e-5,1.5770708276496216e-5,1.5864274116594856e-8
1.0e14,3.0,0.003,0.0007347821243334155,0.0007347821243580409,3.351385835514975e-11
1.0e14,3.0,0.01,0.000729425060868895,0.0007294250610970006,3.127198500152417e-10
1.0e14,3.0,0.03,0.0007181090189233891,0.0007181090192084215,3.9692071851504807e-10
1.0e14,3.0,0.1,0.000687621186210541,0.0006876211887770116,3.732390174704392e-9
1.0e14,3.0,0.3,0.0006164190803513189,0.0006164190837783517,5.559582572089994e-9
1.0e14,3.0,1.0,0.00042669247553588416,0.00042669248507618403,2.235872531564098e-8
1.0e14,3.0,2.0,0.0002562939726756644,0.00025629397313943497,1.8095258624839516e-9
1.0e14,3.0,4.0,9.982962788615505e-5,9.982962696380934e-5,9.239198073274224e-9
1.0e14,5.0,0.003,0.002103048420466368,0.002103048420526105,2.8404834040429705e-11
1.0e14,5.0,0.01,0.0020888865340748693,0.002088886534190378,5.529687818750517e-11
1.0e14,5.0,0.03,0.0020590793392750045,0.0020590793396477215,1.810114280687003e-10
1.0e14,5.0,0.1,0.001979278411916765,0.0019792784137378536,9.200769035544454e-10
1.0e14,5.0,0.3,0.0017934652483061904,0.001793465250631403,1.2964915807600619e-9
1.0e14,5.0,1.0,0.0012873317032347854,0.0012873317152917133,9.365828557150735e-9
1.0e14,5.0,2.0,0.0008076672364680156,0.0008076672557963838,2.393110354326211e-8
1.0e14,5.0,4.0,0.0003333482890966512,0.00033334828888785767,6.263525254013302e-10
1.0e15,0.01,0.003,0.0007724477104019683,0.00077295150655451,0.0006522074514008214
1.0e15,0.01,0.01,0.0007645107247871575,0.0007655811167418591,0.0014001006395294446
1.0e15,0.01,0.03,0.0007474293680206653,0.0007493833824461335,0.002614313149940539
1.0e15,0.01,0.1,0.0007001594955762477,0.0007030773317714384,0.004167387878942108
1.0e15,0.01,0.3,0.0005904276659531135,0.0005933418015572528,0.004935635255904014
1.0e15,0.01,1.0,0.00033815943055334746,0.0003466983653394108,0.025251209975397204
1.0e15,0.01,2.0,0.00016765620100430188,0.00018458656797197312,0.10098264702560478
1.0e15,0.01,4.0,5.388188903655063e-5,7.162865777357947e-5,0.3293642642148342
1.0e15,0.1,0.003,0.0008171007542080726,0.0008171007090843566,5.522417612091601e-8
1.0e15,0.1,0.01,0.0008088271326186132,0.0008088270404459308,1.1395844501382868e-7
1.0e15,0.1,0.03,0.0007910394662873795,0.0007910392848455416,2.2937141019863105e-7
