beta,P0_lower,P0_upper
4.244828246831067631e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.251100878574841424e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.257373510318615217e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.263646142062389011e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.269918773806162804e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.276191405549936597e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.282464037293710390e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.288736669037484184e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.295009300781257977e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.301281932525031770e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.307554564268805564e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.313827196012579357e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.320099827756353150e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.326372459500126944e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.332645091243900737e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.338917722987674530e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.345190354731448323e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.351462986475223005e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.357735618218995910e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.364008249962770591e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.370280881706543497e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.376553513450318178e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.382826145194091083e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.389098776937865765e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.395371408681639558e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.401644040425413351e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.407916672169187144e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.414189303912960938e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.420461935656734731e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.426734567400508524e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.433007199144282318e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.439279830888056111e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.445552462631829904e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.451825094375603697e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.458097726119377491e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.464370357863151284e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.470642989606925077e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.476915621350698871e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.483188253094472664e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.489460884838246457e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.495733516582020250e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.502006148325794044e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.508278780069567837e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.514551411813341630e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.520824043557115424e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.527096675300889217e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.533369307044663898e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.539641938788436804e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.545914570532211485e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.552187202275984390e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.558459834019759072e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.564732465763531977e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.571005097507306658e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.577277729251079563e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.583550360994854245e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.589822992738628038e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.596095624482401831e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.602368256226175625e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.608640887969949418e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.614913519713723211e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.621186151457497004e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.627458783201270798e+00,1.000000000000000000e+00,6.000000000000000000e+01
