case,mass_Msun,z,r_over_R200,theta_rad,native_evaluations,native_relative_error,native_y,scaled_evaluations,scaled_relative_error,log_y_scaled,outside_painted_disc
slow_fit_trial,1.0e12,5.0,1.0,3.910166173261086e-5,665,2.7480092678490795e-14,1.1847727105524226e-7,133,3.8958366161611214e-11,-15.948544700209236,false
slow_fit_trial,1.0e12,5.0,4.0,0.00015640664693044345,589,3.83881380909379e-14,4.4954763957310504e-8,171,1.461526878016646e-13,-16.917609098167205,false
slow_fit_trial,1.0e12,5.0,100.0,0.0039101661732610865,437,4.606825969405636e-13,5.371250137059792e-18,171,2.096103258259803e-12,-39.765470992268476,true
slow_fit_trial,1.0e12,5.0,10000.0,0.39101661732610865,209,6.440169089404138e-13,6.321673504481899e-74,133,1.2090491785880557e-13,-168.54731291343973,true
slow_fit_trial,1.0e12,5.0,1.0e6,39.101661732610864,19,3.4682096186726054e-16,7.720853783997294e-139,19,6.446138917435577e-15,-318.01540297446866,true
slow_fit_trial,1.0e12,5.0,1.0e8,3910.1661732610864,19,2.992844251464893e-16,1.7699714000765662e-205,19,2.818941308632949e-15,-471.4589806754731,true
slow_fit_trial,1.0e14,0.1,0.003,7.243964718463936e-6,969,2.513446898609949e-14,1.713452176922278e-5,209,2.0181623965483077e-11,-10.974415312614413,false
slow_fit_trial,1.0e14,0.1,0.1,0.00024146549061546455,779,3.796492552296366e-14,1.08343728758046e-5,171,1.8356694544246615e-12,-11.432786804133764,false
slow_fit_trial,1.0e14,0.1,1.0,0.0024146549061546453,665,1.6764303336664797e-13,3.0415738999977935e-7,133,1.1552867143783149e-11,-15.00572053925383,false
slow_fit_trial,1.0e14,0.1,4.0,0.009658619624618581,627,1.057231731920925e-13,3.5889620203070664e-10,171,4.3418728603139786e-13,-21.747987900080332,false
slow_fit_trial,1.0e14,0.1,100.0,0.24146549061546452,437,6.924337465481829e-14,2.125492537109112e-21,133,3.1400026213077304e-11,-47.60028339518692,true
slow_fit_trial,1.0e14,0.1,10000.0,24.14654906154645,209,9.259667881304253e-14,3.160942436642829e-39,95,1.684585057452287e-12,-88.64994840418957,true
slow_fit_trial,1.0e14,0.1,1.0e6,2414.6549061546452,19,0.0,9.302505218615712e-58,19,0.0,-131.3196516514255,true
slow_fit_trial,1.0e14,1.0,0.003,1.1791733626257454e-6,969,2.5201665262999346e-14,9.786623967607262e-6,209,5.5510952172509284e-11,-11.534494005878491,false
slow_fit_trial,1.0e14,1.0,0.1,3.9305778754191515e-5,779,3.272365371726575e-14,7.212261698096977e-6,171,1.6774569640499911e-12,-11.839727966801096,false
slow_fit_trial,1.0e14,1.0,1.0,0.00039305778754191513,665,1.2774579197293751e-13,4.957903561471224e-7,133,5.44298576438007e-12,-14.517112668629448,false
slow_fit_trial,1.0e14,1.0,4.0,0.0015722311501676605,627,1.666023626484311e-13,5.341970241403536e-10,171,1.1452801060979638e-12,-21.350256385952676,false
