case,mass_Msun,z,r_over_R200,theta_rad,native_evaluations,native_relative_error,native_y,scaled_evaluations,scaled_relative_error,log_y_scaled,outside_painted_disc
Battaglia12,1.0e12,5.0,0.003,1.173049851978326e-7,969,2.528393491988216e-14,1.5195737978879772e-6,209,1.7450479559080345e-11,-13.397080658550763,false
Battaglia12,1.0e12,5.0,0.1,3.910166173261086e-6,779,3.263295810796254e-14,1.1217511423703605e-6,171,6.314331839763924e-13,-13.700619573708524,false
Battaglia12,1.0e12,5.0,1.0,3.910166173261086e-5,665,9.993770514111205e-14,1.0357707782662369e-7,133,5.3251015548855804e-12,-16.08294978810163,false
Battaglia12,1.0e12,5.0,4.0,0.00015640664693044345,589,6.794281343925232e-13,8.481358888451941e-10,133,4.2119651368468875e-11,-20.887980246695,false
Battaglia12,1.0e12,5.0,100.0,0.0039101661732610865,437,8.829127491577057e-14,2.409710942479049e-18,133,9.212651119062426e-12,-40.56702487446381,true
Battaglia12,1.0e12,5.0,133.3521432163324,0.005214290395363708,437,1.0691087401519356e-13,3.3853855125115113e-19,133,5.821882142267052e-12,-42.52964897852546,true
Battaglia12,1.0e12,5.0,177.82794100389228,0.006953367995740877,399,8.56290624389532e-14,4.716918998047323e-20,133,3.4078711686969326e-12,-44.50054602807152,true
Battaglia12,1.0e12,5.0,237.13737056616552,0.009272465248038996,361,5.608839054995283e-13,6.5312267976810776e-21,133,1.8175424319793705e-12,-46.47769215622434,true
Battaglia12,1.0e12,5.0,316.22776601683796,0.012365031137249615,361,3.3733442331684565e-13,9.000876162265215e-22,133,8.368525470979502e-13,-48.45955012190832,true
Battaglia12,1.0e12,5.0,421.6965034285823,0.0164890340308892,361,1.2039261246093412e-13,1.236044086384127e-22,133,5.27024963618603e-13,-50.444956018874045,true
Battaglia12,1.0e12,5.0,562.341325190349,0.02198848027586115,361,8.0186543314544e-14,1.692871876945892e-23,133,4.897621985166474e-13,-52.43303071669398,true
Battaglia12,1.0e12,5.0,749.8942093324558,0.02932210970856137,323,7.02860061024633e-14,2.3138917639605462e-24,133,4.859123391102803e-13,-54.423111378613214,true
Battaglia12,1.0e12,5.0,1000.0,0.039101661732610864,323,1.4111232154865543e-13,3.157966800279847e-25,133,4.406629703793686e-13,-56.414698921967236,true
Battaglia12,1.0e12,5.0,1333.521432163324,0.05214290395363708,285,1.913770688847635e-13,4.3050746317746785e-26,133,3.2764480116832153e-13,-58.40741794404731,true
Battaglia12,1.0e12,5.0,1778.2794100389228,0.06953367995740876,285,1.449069582953455e-13,5.863878374440386e-27,133,2.1265672425749645e-13,-60.40098628752722,true
