beta0,P0_lower_all_guards_except_minimum_size,P0_upper
4.912112935572038097e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.920021556873342305e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.927930178174645626e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.935838799475949834e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.943747420777253154e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.951656042078557363e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.959564663379861571e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.967473284681164891e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.975381905982468211e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.983290527283772420e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.991199148585076628e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.999107769886379948e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.007016391187684157e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.014925012488987477e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.022833633790291685e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.030742255091595894e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.038650876392899214e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.046559497694203422e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.054468118995506742e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.062376740296810951e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.070285361598115159e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.078193982899418479e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.086102604200721800e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.094011225502026008e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.101919846803330216e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.109828468104633536e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.117737089405937745e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.125645710707241065e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.133554332008545273e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.141462953309849482e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.149371574611152802e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.157280195912457010e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.165188817213760331e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.173097438515064539e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.181006059816367859e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.188914681117672068e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.196823302418975388e+00,1.000000000000000000e+00,6.000000000000000000e+01
