mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e14,0.5,0.3,3.8106982594895867e-6,3.8106983186060743e-6,1.5513295315017217e-8
1.0e14,0.5,1.0,3.5449821017266277e-7,3.544981961194044e-7,3.964267791811693e-8
1.0e14,0.5,2.0,2.277887063292005e-8,2.2778867435902956e-8,1.4035011419721855e-7
1.0e14,0.5,4.0,3.9335166674910175e-10,3.9335160008087824e-10,1.6948758363444227e-7
1.0e14,1.0,0.003,9.927020405349607e-6,9.927020405961436e-6,6.163269894443602e-11
1.0e14,1.0,0.01,9.657626086518644e-6,9.657626104192318e-6,1.8300225779199764e-9
1.0e14,1.0,0.03,9.04288375533311e-6,9.042883769880832e-6,1.60874824572943e-9
1.0e14,1.0,0.1,7.2920382251549485e-6,7.292038376520598e-6,2.0757660035286563e-8
1.0e14,1.0,0.3,3.940277561394748e-6,3.940277616971575e-6,1.4104799994640871e-8
1.0e14,1.0,1.0,5.046773969348637e-7,5.046773981689202e-7,2.4452382341166867e-9
1.0e14,1.0,2.0,3.9617309457747245e-8,3.961730845893092e-8,2.5211614351761114e-8
1.0e14,1.0,4.0,6.96911416533084e-10,6.969113761349315e-10,5.796741386898674e-8
1.0e14,3.0,0.003,1.018337395557399e-5,1.0183373956588644e-5,9.963829761261422e-11
1.0e14,3.0,0.01,9.996879556251717e-6,9.996879567529298e-6,1.1281100498194974e-9
1.0e14,3.0,0.03,9.582961320870859e-6,9.58296133596465e-6,1.5750654114299323e-9
1.0e14,3.0,0.1,8.400719440964837e-6,8.400719562245616e-6,1.4436951634166917e-8
1.0e14,3.0,0.3,5.7894263393248566e-6,5.789426449721661e-6,1.906869484535889e-8
1.0e14,3.0,1.0,1.5388740519117175e-6,1.5388741581255263e-6,6.902046911783088e-8
1.0e14,3.0,2.0,2.465161093706462e-7,2.4651611057799176e-7,4.897633631983922e-9
1.0e14,3.0,4.0,8.812965943998891e-9,8.81296563743853e-9,3.478515220312062e-8
1.0e14,5.0,0.003,1.145042386820225e-5,1.1450423869011353e-5,7.066147666989764e-11
1.0e14,5.0,0.01,1.128340682676656e-5,1.1283406828521558e-5,1.5553802690249086e-10
1.0e14,5.0,0.03,1.0918405831843564e-5,1.0918405838133881e-5,5.76120484652165e-10
1.0e14,5.0,0.1,9.88724422494472e-6,9.887244254121867e-6,2.9509887866652207e-9
1.0e14,5.0,0.3,7.512060652988314e-6,7.5120606813814075e-6,3.779667689940425e-9
1.0e14,5.0,1.0,2.7944656340733545e-6,2.794465713624085e-6,2.8467242341179144e-8
1.0e14,5.0,2.0,6.786370480539252e-7,6.786371085529254e-7,8.914780069702033e-8
1.0e14,5.0,4.0,4.5217167119750663e-8,4.5217167155739366e-8,7.959080061681334e-10
1.0e15,0.01,0.003,0.00015791727331559735,0.00015839058743393256,0.002997228285402942
1.0e15,0.01,0.01,0.00014632884173254815,0.00014698536658912072,0.004486640151041055
1.0e15,0.01,0.03,0.0001193259480001705,0.00011974343151698859,0.0034986817520821223
1.0e15,0.01,0.1,5.904492329810693e-5,5.968693062946531e-5,0.010873201208459582
1.0e15,0.01,0.3,9.432568390303918e-6,1.0950505575155185e-5,0.16092511838150148
1.0e15,0.01,1.0,9.240254892058647e-8,2.3765978817398303e-7,1.57200467898602
1.0e15,0.01,2.0,1.4169357443456805e-9,9.27494357831059e-9,5.54577571024127
1.0e15,0.01,4.0,8.64465347142249e-12,1.7603605985142665e-10,19.363576218915767
1.0e15,0.1,0.003,0.0001374277786252864,0.0001374277402737029,2.790671862484828e-7
1.0e15,0.1,0.01,0.00012785450584681767,0.0001278544332449297,5.678477068560284e-7
1.0e15,0.1,0.03,0.0001054760240099124,0.00010547591755666493,1.0092648872195298e-6
1.0e15,0.1,0.1,5.420206908779121e-5,5.420199353165663e-5,1.3939714083033294e-6
1.0e15,0.1,0.3,9.298281757235427e-6,9.298272447688204e-6,1.0012115642110686e-6
