ell,L1_m9_target_clean,L1_m9_fit_clean,L1_m9_target_noisy,L1_m9_fit_noisy,fgas-8sigma_target_clean,fgas-8sigma_fit_clean,fgas-8sigma_target_noisy,fgas-8sigma_fit_noisy,Mstar-1sigma_target_clean,Mstar-1sigma_fit_clean,Mstar-1sigma_target_noisy,Mstar-1sigma_fit_noisy
6180.0393608414242,4.3013870154301927e-14,4.3073922489335437e-14,4.7813353010988639e-14,4.7461221670027241e-14,2.4051739555196403e-14,2.4009320634504192e-14,2.8948225919046908e-14,2.8277538848820221e-14,4.2428565097706294e-14,4.2330370224742595e-14,4.7278967615291562e-14,4.6430985744458497e-14
6380.0224529780562,3.5839408924453544e-14,3.5770360333824472e-14,4.2439963243959136e-14,4.208328790177389e-14,1.9794504200352113e-14,1.9706764783453047e-14,2.6383190877169264e-14,2.601508396785798e-14,3.5280159527772134e-14,3.5122544835142152e-14,4.1851081858347599e-14,4.1257569732806155e-14
6580.0065729483285,2.9642142233813557e-14,2.9588486804989638e-14,3.1768860023792269e-14,3.1721906302135873e-14,1.6155765776886997e-14,1.6106910826792573e-14,1.8247248707184419e-14,1.8323604943900367e-14,2.9124338547627772e-14,2.9022161059439168e-14,3.1267215656096857e-14,3.117106874356008e-14
6779.9916297935106,2.4377893622169964e-14,2.4333895701836428e-14,2.4778304419125505e-14,2.4381985259613712e-14,1.3134537097312506e-14,1.3121884134694529e-14,1.3643870047884336e-14,1.316624121043049e-14,2.3901002563366366e-14,2.3913311911329437e-14,2.431926493770929e-14,2.3774612466691398e-14
6979.9775429799429,1.9927554000404981e-14,1.9919571630431789e-14,3.5443699473238182e-14,3.4534045607855707e-14,1.0598638888295077e-14,1.0620404000325215e-14,2.5882179199542345e-14,2.5160053573100765e-14,1.9502126086760075e-14,1.954458996793445e-14,3.502849564415848e-14,3.4108809450003658e-14
7179.9642409470753,1.6165618089587461e-14,1.6186934762337207e-14,1.8708796330329912e-14,1.7953961748583124e-14,8.4954973332769106e-15,8.5371730789801276e-15,1.0950516049682002e-14,1.0446989764943351e-14,1.5786460428220014e-14,1.58831472950321e-14,1.8314081785587467e-14,1.7691337328292459e-14
7379.9516598915989,1.309332615303356e-14,1.3064339210510929e-14,1.3162562594740474e-14,1.2892827896503345e-14,6.7913828603665456e-15,6.8234746769746517e-15,6.9791675806599198e-15,6.8157519702261609e-15,1.275846559047508e-14,1.28261871004121e-14,1.2815311771152001e-14,1.2765316030024316e-14
7579.9397427440636,1.0503062784271065e-14,1.0538187540990645e-14,1.1820161394653675e-14,1.2059016276852185e-14,5.3926934083594918e-15,5.4484630474944977e-15,6.567115026188547e-15,6.6227599666201392e-15,1.0218800578993915e-14,1.033774030567259e-14,1.1459924960918023e-14,1.1616456414159101e-14
7779.9284383033419,8.3967206932665148e-15,8.4202577407181424e-15,-3.0072197029269481e-15,-3.1386288251690463e-15,4.2610624987734737e-15,4.3147789011657129e-15,-7.4112435281072184e-15,-7.4687687509639071e-15,8.1554099615050422e-15,8.2633572277196468e-15,-3.1793345447073542e-15,-3.3301185430355194e-15
7929.6050756620425,7.0690125967819078e-15,7.1293366688031984e-15,2.983083034136111e-14,2.7901090977277463e-14,3.5532823108580807e-15,3.6257204628427297e-15,2.6074458426694187e-14,2.4848860178188646e-14,6.8531851722276767e-15,6.9915197183542379e-15,2.9570820167827436e-14,2.8114156637074726e-14
