mass_Msun,z,r_over_R200,direct_y,interpolated_y,relative_error
1.0e15,0.1,0.01,6.084125892450516e-5,6.084122648527332e-5,5.331781821604764e-7
1.0e15,0.1,0.03,5.089022737618761e-5,5.0890178709725765e-5,9.56302700028111e-7
1.0e15,0.1,0.1,2.768192477291135e-5,2.7681886658667465e-5,1.3768639355316026e-6
1.0e15,0.1,0.3,5.7737943195336595e-6,5.77378726264643e-6,1.2222269860640012e-6
1.0e15,0.1,1.0,1.207418191799995e-7,1.2074094145207835e-7,7.269460797432181e-6
1.0e15,0.1,2.0,3.942098455110893e-9,3.941964639619725e-9,3.3945243299249306e-5
1.0e15,0.1,4.0,6.386440689530059e-11,6.385722517982894e-11,0.00011245255097125373
1.0e15,0.5,0.003,4.710042754227043e-5,4.710042743329883e-5,2.3136010884883262e-9
1.0e15,0.5,0.01,4.4425201939593725e-5,4.4425201926164695e-5,3.0228408665067263e-10
1.0e15,0.5,0.03,3.8143940295872995e-5,3.8143940163737705e-5,3.4641226553944193e-9
1.0e15,0.5,0.1,2.2575137346821792e-5,2.2575137569698326e-5,9.872654693765526e-9
1.0e15,0.5,0.3,5.476256062716346e-6,5.476255955174839e-6,1.9637779291592494e-8
1.0e15,0.5,1.0,1.1689200851024884e-7,1.1689199463599441e-7,1.18692925155095e-7
1.0e15,0.5,2.0,2.824220814991873e-9,2.824220407418331e-9,1.4431362449496277e-7
1.0e15,0.5,4.0,2.4248389357369258e-11,2.4248385905464897e-11,1.4235602663337232e-7
1.0e15,1.0,0.003,4.191276743692236e-5,4.191276748622073e-5,1.1762135709858512e-9
1.0e15,1.0,0.01,3.982787350889652e-5,3.982787361951668e-5,2.7774558208903954e-9
1.0e15,1.0,0.03,3.493236575551403e-5,3.4932366252626606e-5,1.4230715938978733e-8
1.0e15,1.0,0.1,2.223329696031204e-5,2.22332973197609e-5,1.616714162544497e-8
1.0e15,1.0,0.3,6.308101640361844e-6,6.308101774053668e-6,2.1193669930141823e-8
1.0e15,1.0,1.0,1.574302978264808e-7,1.5743029223296043e-7,3.55301390531082e-8
1.0e15,1.0,2.0,3.278928189790393e-9,3.278928067331117e-9,3.734734910221249e-8
1.0e15,1.0,4.0,1.702482352845979e-11,1.7024822963987272e-11,3.3155851397737024e-8
1.0e15,3.0,0.003,4.838211791375018e-5,4.838211795223895e-5,7.955165415296506e-10
1.0e15,3.0,0.01,4.663715691713629e-5,4.663715697887682e-5,1.3238485863098504e-9
1.0e15,3.0,0.03,4.2586404296457324e-5,4.2586404724436726e-5,1.004967220552544e-8
1.0e15,3.0,0.1,3.1308292422038595e-5,3.130829274114553e-5,1.0192409582998607e-8
1.0e15,3.0,0.3,1.2828363534577658e-5,1.282836423933071e-5,5.4937097093699094e-8
1.0e15,3.0,1.0,6.589985000938394e-7,6.589984990033507e-7,1.6547666570332353e-9
1.0e15,3.0,2.0,1.69979640898611e-8,1.6997963142075175e-8,5.5758790917792567e-8
1.0e15,3.0,4.0,5.1855689351369104e-11,5.1855681174469527e-11,1.5768567884766327e-7
1.0e15,5.0,0.003,5.831649565515748e-5,5.831649566805988e-5,2.212479088825603e-10
1.0e15,5.0,0.01,5.657258840502845e-5,5.657258853646054e-5,2.3232469281708745e-9
1.0e15,5.0,0.03,5.256949005196128e-5,5.2569490242393994e-5,3.6224949706564757e-9
1.0e15,5.0,0.1,4.1193803635888206e-5,4.1193804728687546e-5,2.652824560023248e-8
1.0e15,5.0,0.3,2.0233455630362864e-5,2.0233456315720803e-5,3.387251057418439e-8
1.0e15,5.0,1.0,1.7091260158892687e-6,1.7091261291102563e-6,6.62449617383487e-8
1.0e15,5.0,2.0,6.62094080010571e-8,6.620940765141414e-8,5.280865189583039e-9
1.0e15,5.0,4.0,2.5456849610767125e-10,2.545684651966119e-10,1.2142531313763527e-7
5.011872336272715e15,0.01,0.003,0.00022117578873400055,0.00022189245146785898,0.0032402404348168545
5.011872336272715e15,0.01,0.01,0.0001965865286488882,0.00019727580203269743,0.00350620863263873
5.011872336272715e15,0.01,0.03,0.0001422276994445492,0.00014250344559158881,0.001938765431181988
5.011872336272715e15,0.01,0.1,4.8753371065077474e-5,5.107239302071293e-5,0.047566391922723605
5.011872336272715e15,0.01,0.3,4.205424631392391e-6,6.081746866602487e-6,0.44616712928436364
5.011872336272715e15,0.01,1.0,2.77110042199373e-8,1.1302838154010617e-7,3.078826614980102
5.011872336272715e15,0.01,2.0,5.843357322089101e-10,5.3265612361643945e-9,8.115583632082346
5.011872336272715e15,0.01,4.0,7.860188627430336e-12,1.4953117551421653e-10,18.02386604214376
5.011872336272715e15,0.1,0.003,0.00019510624743910844,0.0001951061797849298,3.467555731440086e-7
